name;date;tempc;humidpc
xm-09;2024-02-18T21:00:00.000-03:00;19,9;94
xm-09;2024-02-18T22:00:00.000-03:00;19,9;95
xm-09;2024-02-18T23:00:00.000-03:00;19,75;95
xm-09;2024-02-19T00:00:00.000-03:00;19,8;96
xm-09;2024-02-19T01:00:00.000-03:00;20,1;95
xm-09;2024-02-19T02:00:00.000-03:00;19,9;94
xm-09;2024-02-19T03:00:00.000-03:00;19,35;95
xm-09;2024-02-19T04:00:00.000-03:00;19,2;95
xm-09;2024-02-19T05:00:00.000-03:00;19,1;96
xm-09;2024-02-19T06:00:00.000-03:00;19,35;95
xm-09;2024-02-19T07:00:00.000-03:00;19,65;96
xm-09;2024-02-19T08:00:00.000-03:00;20,3;95
xm-09;2024-02-19T09:00:00.000-03:00;21,45;91
xm-09;2024-02-19T10:00:00.000-03:00;23,25;85
xm-09;2024-02-19T11:00:00.000-03:00;25,05;78
xm-09;2024-02-19T12:00:00.000-03:00;26,25;73
xm-09;2024-02-19T13:00:00.000-03:00;26,9;70
xm-09;2024-02-19T14:00:00.000-03:00;28,2;67
xm-09;2024-02-19T15:00:00.000-03:00;25,85;77
xm-09;2024-02-19T16:00:00.000-03:00;25,35;79
xm-09;2024-02-19T17:00:00.000-03:00;26,65;72
xm-09;2024-02-19T18:00:00.000-03:00;25,35;75
xm-09;2024-02-19T19:00:00.000-03:00;23,8;79
xm-09;2024-02-19T20:00:00.000-03:00;22,65;83
xm-09;2024-02-19T21:00:00.000-03:00;22,15;86
xm-09;2024-02-19T22:00:00.000-03:00;21,8;87
xm-09;2024-02-19T23:00:00.000-03:00;21,5;88
xm-09;2024-02-20T00:00:00.000-03:00;21,2;90
xm-09;2024-02-20T01:00:00.000-03:00;21;91
xm-09;2024-02-20T02:00:00.000-03:00;20,85;91
xm-09;2024-02-20T03:00:00.000-03:00;20,8;92
xm-09;2024-02-20T04:00:00.000-03:00;20,7;92
xm-09;2024-02-20T05:00:00.000-03:00;20,65;94
xm-09;2024-02-20T06:00:00.000-03:00;20,3;95
xm-09;2024-02-20T07:00:00.000-03:00;20;95
xm-09;2024-02-20T08:00:00.000-03:00;20,25;95
xm-09;2024-02-20T09:00:00.000-03:00;20,95;94
