Institution;year;sp
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
NA;2013;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1986;Caryocar brasiliense
NA;2018;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1967;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;1984;Caryocar brasiliense
Universidade Estadual Paulista;1996;Caryocar brasiliense
NA;1984;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1993;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1929;Caryocar brasiliense
Museu Botânico Municipal;1968;Caryocar brasiliense
NA;1993;Caryocar brasiliense
Universidade Estadual de Londrina;2005;Caryocar brasiliense
NA;1929;Caryocar brasiliense
NA;1984;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1989;Caryocar brasiliense
Universidade de São Paulo;1942;Caryocar brasiliense
NA;1984;Caryocar brasiliense
